nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,przejazd_id,kategoria,okresB_id
MPJ 26102/3 MORCINEK,23.03,22:08,-2.0,0.0,Brzeg,Oława,"('Brzeg', 'Wrocław Główny')",2023-03-23 22:08:00,"('Brzeg', 'Oława')",8.0,25.0,-2.0,False,False,2023-03-23 21:58:00,2023-03-23 21:00:00,MPJ 26102/3 MORCINEK 2023-03-23 22:08:00,B,2023-03-23 20:00
MPJ 42100/1 SZTYGAR,19.03,20:16,25.0,-1.0,Puławy Miasto,Nałęczów,"('Puławy Miasto', 'Lublin Główny')",2023-03-19 20:16:00,"('Puławy Miasto', 'Nałęczów')",12.0,32.0,26.0,True,True,2023-03-19 20:30:00,2023-03-19 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-19 20:16:00,B,2023-03-19 20:00
MPJ 42100/1 SZTYGAR,19.03,20:30,25.0,0.0,Nałęczów,Lublin Zachodni,"('Puławy Miasto', 'Lublin Główny')",2023-03-19 20:30:00,"('Nałęczów', 'Lublin Zachodni')",14.0,32.0,25.0,True,True,2023-03-19 20:41:00,2023-03-19 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-19 20:30:00,B,2023-03-19 20:00
MPJ 42100/1 SZTYGAR,19.03,20:36,25.0,0.0,Lublin Zachodni,Lublin Główny,"('Puławy Miasto', 'Lublin Główny')",2023-03-19 20:36:00,"('Lublin Zachodni', 'Lublin Główny')",6.0,32.0,25.0,True,True,2023-03-19 20:55:00,2023-03-19 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-19 20:36:00,B,2023-03-19 20:00
MPJ 42100/1 SZTYGAR,23.03,20:16,16.0,-2.0,Puławy Miasto,Nałęczów,"('Puławy Miasto', 'Lublin Główny')",2023-03-23 20:16:00,"('Puławy Miasto', 'Nałęczów')",12.0,32.0,18.0,True,True,2023-03-23 20:22:00,2023-03-23 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-23 20:16:00,B,2023-03-23 20:00
MPJ 42100/1 SZTYGAR,23.03,20:30,16.0,0.0,Nałęczów,Lublin Zachodni,"('Puławy Miasto', 'Lublin Główny')",2023-03-23 20:30:00,"('Nałęczów', 'Lublin Zachodni')",14.0,32.0,16.0,True,True,2023-03-23 20:32:00,2023-03-23 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-23 20:30:00,B,2023-03-23 20:00
MPJ 42100/1 SZTYGAR,23.03,20:36,15.0,-1.0,Lublin Zachodni,Lublin Główny,"('Puławy Miasto', 'Lublin Główny')",2023-03-23 20:36:00,"('Lublin Zachodni', 'Lublin Główny')",6.0,32.0,16.0,True,True,2023-03-23 20:46:00,2023-03-23 20:00:00,MPJ 42100/1 SZTYGAR 2023-03-23 20:36:00,B,2023-03-23 20:00
MPJ 62100/1 BOLKO,13.03,12:19,7.0,2.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-13 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,5.0,True,True,2023-03-13 12:12:00,2023-03-13 12:00:00,MPJ 62100/1 BOLKO 2023-03-13 12:19:00,B,2023-03-13 12:00
MPJ 62100/1 BOLKO,15.03,12:19,7.0,0.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-15 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,7.0,True,True,2023-03-15 12:14:00,2023-03-15 12:00:00,MPJ 62100/1 BOLKO 2023-03-15 12:19:00,B,2023-03-15 12:00
MPJ 62100/1 BOLKO,16.03,12:19,3.0,3.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-16 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,0.0,False,False,2023-03-16 12:07:00,2023-03-16 12:00:00,MPJ 62100/1 BOLKO 2023-03-16 12:19:00,B,2023-03-16 12:00
MPJ 62100/1 BOLKO,17.03,12:19,3.0,3.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-17 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,0.0,False,False,2023-03-17 12:07:00,2023-03-17 12:00:00,MPJ 62100/1 BOLKO 2023-03-17 12:19:00,B,2023-03-17 12:00
MPJ 62100/1 BOLKO,19.03,12:19,5.0,5.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-19 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,0.0,False,True,2023-03-19 12:07:00,2023-03-19 12:00:00,MPJ 62100/1 BOLKO 2023-03-19 12:19:00,B,2023-03-19 12:00
MPJ 62100/1 BOLKO,20.03,12:19,8.0,-1.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-20 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,9.0,True,True,2023-03-20 12:16:00,2023-03-20 12:00:00,MPJ 62100/1 BOLKO 2023-03-20 12:19:00,B,2023-03-20 12:00
MPJ 62100/1 BOLKO,21.03,12:19,2.0,3.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-21 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,-1.0,False,False,2023-03-21 12:06:00,2023-03-21 12:00:00,MPJ 62100/1 BOLKO 2023-03-21 12:19:00,B,2023-03-21 12:00
MPJ 62100/1 BOLKO,22.03,12:19,1.0,0.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-22 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,1.0,False,False,2023-03-22 12:08:00,2023-03-22 12:00:00,MPJ 62100/1 BOLKO 2023-03-22 12:19:00,B,2023-03-22 12:00
MPJ 62100/1 BOLKO,23.03,12:08,0.0,0.0,Chorzów Batory,Katowice,"('Zabrze', 'Katowice')",2023-03-23 12:08:00,"('Chorzów Batory', 'Katowice')",7.0,17.0,0.0,False,False,2023-03-23 12:01:00,2023-03-23 12:00:00,MPJ 62100/1 BOLKO 2023-03-23 12:08:00,B,2023-03-23 12:00
MPJ 62100/1 BOLKO,23.03,12:19,12.0,12.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-23 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,0.0,False,True,2023-03-23 12:07:00,2023-03-23 12:00:00,MPJ 62100/1 BOLKO 2023-03-23 12:19:00,B,2023-03-23 12:00
MPJ 62100/1 BOLKO,24.03,12:19,1.0,0.0,Katowice,Sosnowiec Główny,"('Katowice', 'Sosnowiec Główny')",2023-03-24 12:19:00,"('Katowice', 'Sosnowiec Główny')",12.0,12.0,1.0,False,False,2023-03-24 12:08:00,2023-03-24 12:00:00,MPJ 62100/1 BOLKO 2023-03-24 12:19:00,B,2023-03-24 12:00
