"wojewodztwo" "godzina" "srednia_l_opozn" "srednia_l_poc" "procent_opozn_poc"
"mazowieckie" "07" 28.5833333333333 51.5833333333333 0.554119547657512
"mazowieckie" "08" 33 56.3333333333333 0.585798816568047
"mazowieckie" "09" 29.75 51.0833333333333 0.582381729200652
"mazowieckie" "10" 31.4166666666667 51.9166666666667 0.605136436597111
"mazowieckie" "11" 39.25 62.9166666666667 0.623841059602649
"mazowieckie" "12" 23.5 37.5 0.626666666666667
"mazowieckie" "13" 27.75 44.6666666666667 0.621268656716418
"mazowieckie" "14" 21.9166666666667 40.25 0.544513457556936
"mazowieckie" "15" 25.6666666666667 44.1666666666667 0.581132075471698
"mazowieckie" "16" 33.5 50 0.67
"mazowieckie" "17" 36.1666666666667 56.5833333333333 0.639175257731959
"mazowieckie" "18" 25 40.3333333333333 0.619834710743802
"mazowieckie" "19" 43 63.9166666666667 0.672750977835724
"mazowieckie" "20" 44.5 59.4166666666667 0.748948106591865
"mazowieckie" "21" 16.3333333333333 28.25 0.578171091445428
"mazowieckie" "22" 12.9166666666667 20.5833333333333 0.62753036437247
"mazowieckie" "23" 5.33333333333333 10.75 0.496124031007752
"małopolskie" "04" 0.583333333333333 1 0.583333333333333
"małopolskie" "05" 2.75 5 0.55
"małopolskie" "06" 4.25 8 0.53125
"małopolskie" "07" 10.5 18 0.583333333333333
"małopolskie" "08" 8.66666666666667 16.9166666666667 0.512315270935961
"małopolskie" "09" 8.58333333333333 16.8333333333333 0.50990099009901
"małopolskie" "10" 7.5 12 0.625
"małopolskie" "11" 12.5833333333333 22 0.571969696969697
"małopolskie" "12" 9.41666666666667 13.5 0.697530864197531
"małopolskie" "13" 10.8333333333333 16 0.677083333333333
"małopolskie" "14" 10 16 0.625
"małopolskie" "15" 7.08333333333333 12.5 0.566666666666667
"małopolskie" "16" 12.75 19.5 0.653846153846154
"małopolskie" "17" 9.41666666666667 17.9166666666667 0.525581395348837
"małopolskie" "18" 13.3333333333333 20.8333333333333 0.64
"małopolskie" "19" 8.5 13.8333333333333 0.614457831325301
"małopolskie" "20" 6.58333333333333 14 0.470238095238095
"małopolskie" "21" 3.91666666666667 6.91666666666667 0.566265060240964
"małopolskie" "22" 0.916666666666667 4 0.229166666666667
"małopolskie" "23" 2.33333333333333 5 0.466666666666667
"opolskie" "03" 1.16666666666667 2 0.583333333333333
"opolskie" "04" 3.33333333333333 5 0.666666666666667
"opolskie" "05" 0.583333333333333 1 0.583333333333333
"opolskie" "06" 1.5 5 0.3
"opolskie" "07" 3.66666666666667 10 0.366666666666667
"opolskie" "08" 6.41666666666667 11 0.583333333333333
"opolskie" "09" 7.16666666666667 11.3333333333333 0.632352941176471
"opolskie" "10" 7.91666666666667 15.9166666666667 0.49738219895288
"opolskie" "11" 6 10.1666666666667 0.590163934426229
"opolskie" "12" 4.66666666666667 8.5 0.549019607843137
"opolskie" "13" 3.83333333333333 5.66666666666667 0.676470588235294
"opolskie" "14" 3.16666666666667 4.5 0.703703703703704
"opolskie" "15" 6.75 10 0.675
"opolskie" "16" 5.41666666666667 6 0.902777777777778
"opolskie" "17" 7 10.9166666666667 0.641221374045802
"opolskie" "18" 7.16666666666667 15 0.477777777777778
"opolskie" "19" 3.58333333333333 8.33333333333333 0.43
"opolskie" "20" 6 12 0.5
"opolskie" "21" 2 6 0.333333333333333
"opolskie" "22" 0.583333333333333 1 0.583333333333333
"podkarpackie" "04" 2.16666666666667 10.8333333333333 0.2
"podkarpackie" "05" 4.83333333333333 16.1666666666667 0.298969072164948
"podkarpackie" "06" 2.41666666666667 11.1666666666667 0.216417910447761
"podkarpackie" "07" 4.16666666666667 10.6666666666667 0.390625
"podkarpackie" "08" 7.25 17.0833333333333 0.424390243902439
"podkarpackie" "09" 8.08333333333333 16.5 0.48989898989899
"podkarpackie" "10" 8.5 24.5 0.346938775510204
"podkarpackie" "11" 9.66666666666667 22 0.439393939393939
"podkarpackie" "12" 8.16666666666667 26 0.314102564102564
"podkarpackie" "13" 5.83333333333333 19 0.307017543859649
"podkarpackie" "14" 13.1666666666667 22 0.598484848484849
"podkarpackie" "15" 11.4166666666667 24 0.475694444444444
"podkarpackie" "16" 9.91666666666667 20 0.495833333333333
"podkarpackie" "17" 12 18.5 0.648648648648649
"podkarpackie" "18" 9.5 15.5 0.612903225806452
"podkarpackie" "19" 10.8333333333333 15 0.722222222222222
"podkarpackie" "20" 6.75 9 0.75
"podkarpackie" "21" 8.66666666666667 11 0.787878787878788
"podkarpackie" "22" 7.08333333333333 10 0.708333333333333
"podkarpackie" "23" 3.25 5 0.65
"podlaskie" "05" 2.08333333333333 5 0.416666666666667
"podlaskie" "06" 4.25 7 0.607142857142857
"podlaskie" "07" 3.91666666666667 8.5 0.46078431372549
"podlaskie" "08" 2.75 5 0.55
"podlaskie" "09" 2.08333333333333 5.25 0.396825396825397
"podlaskie" "10" 3.08333333333333 6 0.513888888888889
"podlaskie" "11" 3.58333333333333 9.75 0.367521367521368
"podlaskie" "12" 3.5 9.25 0.378378378378378
"podlaskie" "13" 6.16666666666667 9 0.685185185185185
"podlaskie" "14" 4 6.75 0.592592592592593
"podlaskie" "15" 8.58333333333333 16.5 0.52020202020202
"podlaskie" "16" 6.08333333333333 11 0.553030303030303
"podlaskie" "17" 2.5 4.5 0.555555555555556
"podlaskie" "18" 4.25 8.25 0.515151515151515
"podlaskie" "19" 0.916666666666667 1 0.916666666666667
"podlaskie" "20" 8.83333333333333 12 0.736111111111111
"podlaskie" "21" 4.66666666666667 7 0.666666666666667
"podlaskie" "22" 5.5 9 0.611111111111111
"podlaskie" "23" 1.5 2 0.75
"pomorskie" "04" 0 5 0
"pomorskie" "05" 4 21 0.19047619047619
"pomorskie" "06" 3 17 0.176470588235294
"pomorskie" "07" 7.66666666666667 22.6666666666667 0.338235294117647
"pomorskie" "08" 24 52 0.461538461538462
"pomorskie" "09" 19.75 41.1666666666667 0.479757085020243
"pomorskie" "10" 25.9166666666667 56.1666666666667 0.461424332344214
"pomorskie" "11" 20.8333333333333 36.75 0.566893424036281
"pomorskie" "12" 15 31.3333333333333 0.478723404255319
"pomorskie" "13" 22.3333333333333 30.3333333333333 0.736263736263736
"pomorskie" "14" 23.25 39.5 0.588607594936709
"pomorskie" "15" 22 32.25 0.682170542635659
"pomorskie" "16" 17.9166666666667 34.9166666666667 0.513126491646778
"pomorskie" "17" 28.4166666666667 51.4166666666667 0.552674230145867
"pomorskie" "18" 30.5833333333333 48.9166666666667 0.625212947189097
"pomorskie" "19" 24.9166666666667 45.4166666666667 0.548623853211009
"pomorskie" "20" 19.9166666666667 31.0833333333333 0.640750670241287
"pomorskie" "21" 12.9166666666667 22.25 0.580524344569288
"pomorskie" "22" 17.9166666666667 31 0.577956989247312
"pomorskie" "23" 9.5 16 0.59375
"warmińsko-mazurskie" "05" 0.833333333333333 5 0.166666666666667
"warmińsko-mazurskie" "06" 8.08333333333333 15.5 0.521505376344086
"warmińsko-mazurskie" "07" 4.91666666666667 12 0.409722222222222
"warmińsko-mazurskie" "08" 4.41666666666667 14.8333333333333 0.297752808988764
"warmińsko-mazurskie" "09" 8.08333333333333 17 0.475490196078431
"warmińsko-mazurskie" "10" 6.25 19.0833333333333 0.327510917030568
"warmińsko-mazurskie" "11" 9.25 15 0.616666666666667
"warmińsko-mazurskie" "12" 9.16666666666667 18.6666666666667 0.491071428571428
"warmińsko-mazurskie" "13" 6.41666666666667 12 0.534722222222222
"warmińsko-mazurskie" "14" 8.91666666666667 17 0.524509803921569
"warmińsko-mazurskie" "15" 9.16666666666667 16 0.572916666666667
"warmińsko-mazurskie" "16" 7.58333333333333 16.5833333333333 0.457286432160804
"warmińsko-mazurskie" "17" 6.16666666666667 13 0.474358974358974
"warmińsko-mazurskie" "18" 11.9166666666667 21.5833333333333 0.552123552123552
"warmińsko-mazurskie" "19" 7.08333333333333 11.5 0.615942028985507
"warmińsko-mazurskie" "20" 7.33333333333333 14 0.523809523809524
"warmińsko-mazurskie" "21" 9.58333333333333 15 0.638888888888889
"warmińsko-mazurskie" "22" 6.25 10 0.625
"wielkopolskie" "05" 2.25 7.16666666666667 0.313953488372093
"wielkopolskie" "06" 6.91666666666667 22.6666666666667 0.305147058823529
"wielkopolskie" "07" 11.3333333333333 27.1666666666667 0.417177914110429
"wielkopolskie" "08" 18.9166666666667 37.0833333333333 0.510112359550562
"wielkopolskie" "09" 15.1666666666667 38.1666666666667 0.397379912663755
"wielkopolskie" "10" 18.25 41 0.445121951219512
"wielkopolskie" "11" 19 32.5 0.584615384615385
"wielkopolskie" "12" 20.0833333333333 35 0.573809523809524
"wielkopolskie" "13" 19.8333333333333 32.5 0.61025641025641
"wielkopolskie" "14" 25.5 42 0.607142857142857
"wielkopolskie" "15" 16.4166666666667 27.25 0.602446483180428
"wielkopolskie" "16" 18.9166666666667 36.25 0.52183908045977
"wielkopolskie" "17" 18.0833333333333 42.1666666666667 0.428853754940711
"wielkopolskie" "18" 18.25 44.0833333333333 0.413988657844991
"wielkopolskie" "19" 12.1666666666667 25 0.486666666666667
"wielkopolskie" "20" 18.1666666666667 32.1666666666667 0.564766839378238
"wielkopolskie" "21" 17.8333333333333 33.5833333333333 0.531017369727047
"wielkopolskie" "22" 9.58333333333333 17.0833333333333 0.560975609756098
"wielkopolskie" "23" 0 1 0
"zachodniopomorskie" "04" 1.45454545454545 2 0.727272727272727
"zachodniopomorskie" "05" 4.83333333333333 6.91666666666667 0.698795180722891
"zachodniopomorskie" "06" 5.66666666666667 12.0833333333333 0.468965517241379
"zachodniopomorskie" "07" 7.33333333333333 11.0833333333333 0.661654135338346
"zachodniopomorskie" "08" 7.83333333333333 14.0833333333333 0.556213017751479
"zachodniopomorskie" "09" 9.5 12.4166666666667 0.76510067114094
"zachodniopomorskie" "10" 4.5 8.08333333333333 0.556701030927835
"zachodniopomorskie" "11" 5.75 13.25 0.433962264150943
"zachodniopomorskie" "12" 10.8333333333333 20 0.541666666666667
"zachodniopomorskie" "13" 9.41666666666667 19.0833333333333 0.493449781659389
"zachodniopomorskie" "14" 13.5833333333333 22.3333333333333 0.608208955223881
"zachodniopomorskie" "15" 10.5 19.1666666666667 0.547826086956522
"zachodniopomorskie" "16" 12.4166666666667 20.9166666666667 0.593625498007968
"zachodniopomorskie" "17" 7.33333333333333 12.0833333333333 0.606896551724138
"zachodniopomorskie" "18" 7.16666666666667 10.6666666666667 0.671875
"zachodniopomorskie" "19" 10.5833333333333 16 0.661458333333333
"zachodniopomorskie" "20" 12.4166666666667 17.8333333333333 0.696261682242991
"zachodniopomorskie" "21" 11.1666666666667 17.1666666666667 0.650485436893204
"zachodniopomorskie" "22" 7.08333333333333 10.8333333333333 0.653846153846154
"zachodniopomorskie" "23" 0.5 2 0.25
"łódzkie" "02" 0.714285714285714 3 0.238095238095238
"łódzkie" "03" 1.25 3.75 0.333333333333333
"łódzkie" "04" 0.916666666666667 6.5 0.141025641025641
"łódzkie" "05" 7.41666666666667 17.25 0.429951690821256
"łódzkie" "06" 28.1666666666667 46 0.61231884057971
"łódzkie" "07" 6.33333333333333 23.9166666666667 0.264808362369338
"łódzkie" "08" 10.5833333333333 25.5833333333333 0.413680781758958
"łódzkie" "09" 26.9166666666667 42.8333333333333 0.6284046692607
"łódzkie" "10" 13.75 28.0833333333333 0.489614243323442
"łódzkie" "11" 17.3333333333333 32.5833333333333 0.531969309462916
"łódzkie" "12" 24.8333333333333 36.6666666666667 0.677272727272727
"łódzkie" "13" 15.5 26.1666666666667 0.592356687898089
"łódzkie" "14" 6.58333333333333 12.5 0.526666666666667
"łódzkie" "15" 19.25 31 0.620967741935484
"łódzkie" "16" 22.75 32 0.7109375
"łódzkie" "17" 19.3333333333333 26.1666666666667 0.738853503184713
"łódzkie" "18" 28.4166666666667 44.1666666666667 0.643396226415094
"łódzkie" "19" 14.75 29.1666666666667 0.505714285714286
"łódzkie" "20" 15.0833333333333 22.0833333333333 0.683018867924528
"łódzkie" "21" 19.0833333333333 33.3333333333333 0.5725
"łódzkie" "22" 11.9166666666667 30.75 0.387533875338753
"łódzkie" "23" 2.08333333333333 6.33333333333333 0.328947368421053
"śląskie" "01" 0 2 0
"śląskie" "02" 0.583333333333333 1 0.583333333333333
"śląskie" "03" 3.41666666666667 4 0.854166666666667
"śląskie" "04" 5.5 7 0.785714285714286
"śląskie" "05" 7.91666666666667 22.8333333333333 0.346715328467153
"śląskie" "06" 7.33333333333333 25.9166666666667 0.282958199356913
"śląskie" "07" 7.33333333333333 23 0.318840579710145
"śląskie" "08" 13.5833333333333 38.75 0.350537634408602
"śląskie" "09" 18.75 46.5833333333333 0.402504472271914
"śląskie" "10" 20.3333333333333 39.5 0.514767932489451
"śląskie" "11" 17.5 35.1666666666667 0.497630331753555
"śląskie" "12" 18.5 29 0.637931034482759
"śląskie" "13" 17.5833333333333 31.6666666666667 0.555263157894737
"śląskie" "14" 21.5833333333333 38.8333333333333 0.555793991416309
"śląskie" "15" 19.9166666666667 36.4166666666667 0.546910755148741
"śląskie" "16" 16.3333333333333 30 0.544444444444444
"śląskie" "17" 21.3333333333333 41.8333333333333 0.50996015936255
"śląskie" "18" 20.4166666666667 36.9166666666667 0.553047404063206
"śląskie" "19" 19.5 36.5 0.534246575342466
"śląskie" "20" 11.5 26.1666666666667 0.439490445859873
"śląskie" "21" 13.75 25 0.55
"śląskie" "22" 9.5 16 0.59375
"śląskie" "23" 1.91666666666667 6 0.319444444444444
"świętokrzyskie" "05" 1 2.83333333333333 0.352941176470588
"świętokrzyskie" "06" 1.5 7 0.214285714285714
"świętokrzyskie" "07" 1.5 6 0.25
"świętokrzyskie" "08" 5.08333333333333 16 0.317708333333333
"świętokrzyskie" "09" 5.5 12.9166666666667 0.425806451612903
"świętokrzyskie" "10" 3 12 0.25
"świętokrzyskie" "11" 1 3 0.333333333333333
"świętokrzyskie" "12" 2 4 0.5
"świętokrzyskie" "13" 4.66666666666667 8 0.583333333333333
"świętokrzyskie" "14" 4.75 7 0.678571428571429
"świętokrzyskie" "15" 1.83333333333333 4 0.458333333333333
"świętokrzyskie" "16" 5.33333333333333 9 0.592592592592593
"świętokrzyskie" "17" 4.08333333333333 10 0.408333333333333
"świętokrzyskie" "18" 6.25 11.9166666666667 0.524475524475524
"świętokrzyskie" "19" 3.83333333333333 9 0.425925925925926
"świętokrzyskie" "20" 4.91666666666667 7 0.702380952380952
"świętokrzyskie" "21" 3.41666666666667 6 0.569444444444444
"świętokrzyskie" "22" 3.58333333333333 4.25 0.843137254901961
