"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.587503537872956 0.139174223174304 0.132866377221497
"kujawsko-pomorskie" 0.323535518572471 0.188632474263885 0.039172987991412
"lubelskie" 0.600642534661486 0.477477166997595 0.223766378155748
"lubuskie" 0.0011577324199042 0.0256820198358575 0.0996388718864899
"mazowieckie" 0.329547784151945 0.273224500601695 0.210499499042056
"małopolskie" 0.434511041022654 0.215906091528655 0.153251977142134
"opolskie" 0.175397536550422 0.118403262958588 0.103885423506975
"podkarpackie" 0.392113877912468 0.285400160457765 0.0442589365850093
"podlaskie" 0.171466474762661 0.0963930963647669 0.0539245499176077
"pomorskie" 0.688842712113354 0.567023119091145 0.297616011135782
"warmińsko-mazurskie" 0.431550628529227 0.294077058407793 0.203823202905034
"wielkopolskie" 0.416944998675984 0.341661312024195 0.0455772082485133
"zachodniopomorskie" 0.0864084354209683 0.0731977254366976 0.0816991858984092
"łódzkie" 0.420168766417985 0.394605183108123 0.203941498746385
"śląskie" 0.538431535780416 0.288519371674143 0.259572902342285
"świętokrzyskie" 0.180174295092252 0.176157064722349 0.12459620985784
