nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,warte_uwagi
EIE 2701/0 HETMAN,13.03,10:48,72.0,-1.0,Rzeszów Główny,Dębica,"('Rzeszów Główny', 'Dębica')",2023-03-13 10:48:00,"('Rzeszów Główny', 'Dębica')",27.0,27.0,73.0,True,True,2023-03-13 11:34:00,2023-03-13 11:00,True
EIE 2701/0 HETMAN,13.03,17:20,68.0,-11.0,Rokitki,Leszno Górne,"('Legnica', 'Zielona Góra Główna')",2023-03-13 17:20:00,"('Rokitki', 'Leszno Górne')",27.0,172.0,79.0,True,True,2023-03-13 18:12:00,2023-03-13 18:00,True
EIE 2701/0 HETMAN,13.03,17:39,66.0,-2.0,Leszno Górne,Małomice,"('Legnica', 'Zielona Góra Główna')",2023-03-13 17:39:00,"('Leszno Górne', 'Małomice')",19.0,172.0,68.0,True,True,2023-03-13 18:28:00,2023-03-13 18:00,True
EIE 2701/0 HETMAN,13.03,17:50,65.0,-1.0,Małomice,Żagań,"('Legnica', 'Zielona Góra Główna')",2023-03-13 17:50:00,"('Małomice', 'Żagań')",11.0,172.0,66.0,True,True,2023-03-13 18:45:00,2023-03-13 18:00,True
EIE 2701/0 HETMAN,13.03,18:02,67.0,2.0,Żagań,Żary,"('Legnica', 'Zielona Góra Główna')",2023-03-13 18:02:00,"('Żagań', 'Żary')",12.0,172.0,65.0,True,True,2023-03-13 18:55:00,2023-03-13 18:00,True
EIE 2701/0 HETMAN,16.03,07:31,5.0,5.0,Lublin Główny,Kraśnik,"('Lublin Główny', 'Zaklików')",2023-03-16 07:31:00,"('Lublin Główny', 'Kraśnik')",30.0,53.0,0.0,False,True,2023-03-16 07:01:00,2023-03-16 07:00,True
EIE 2701/0 HETMAN,16.03,07:31,5.0,5.0,Lublin Główny,Kraśnik,"('Lublin Główny', 'Zaklików')",2023-03-16 07:31:00,"('Lublin Główny', 'Kraśnik')",30.0,53.0,0.0,False,True,2023-03-16 07:01:00,2023-03-16 07:00,True
EIE 2701/0 HETMAN,16.03,07:54,10.0,5.0,Kraśnik,Zaklików,"('Lublin Główny', 'Zaklików')",2023-03-16 07:54:00,"('Kraśnik', 'Zaklików')",23.0,53.0,5.0,True,True,2023-03-16 07:36:00,2023-03-16 07:00,True
EIE 2701/0 HETMAN,16.03,07:54,10.0,5.0,Kraśnik,Zaklików,"('Lublin Główny', 'Zaklików')",2023-03-16 07:54:00,"('Kraśnik', 'Zaklików')",23.0,53.0,5.0,True,True,2023-03-16 07:36:00,2023-03-16 07:00,True
EIE 2701/0 HETMAN,16.03,08:44,9.0,0.0,Stalowa Wola Rozwadów,Stalowa Wola Centrum,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 08:44:00,"('Stalowa Wola Rozwadów', 'Stalowa Wola Centrum')",29.0,77.0,9.0,True,True,2023-03-16 08:24:00,2023-03-16 08:00,True
EIE 2701/0 HETMAN,16.03,08:44,9.0,0.0,Stalowa Wola Rozwadów,Stalowa Wola Centrum,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 08:44:00,"('Stalowa Wola Rozwadów', 'Stalowa Wola Centrum')",29.0,77.0,9.0,True,True,2023-03-16 08:24:00,2023-03-16 08:00,True
EIE 2701/0 HETMAN,16.03,08:54,9.0,0.0,Stalowa Wola Centrum,Nisko,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 08:54:00,"('Stalowa Wola Centrum', 'Nisko')",10.0,77.0,9.0,True,True,2023-03-16 08:53:00,2023-03-16 08:00,True
EIE 2701/0 HETMAN,16.03,08:54,9.0,0.0,Stalowa Wola Centrum,Nisko,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 08:54:00,"('Stalowa Wola Centrum', 'Nisko')",10.0,77.0,9.0,True,True,2023-03-16 08:53:00,2023-03-16 08:00,True
EIE 2701/0 HETMAN,16.03,09:07,9.0,0.0,Nisko,Rudnik nad Sanem,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:07:00,"('Nisko', 'Rudnik nad Sanem')",13.0,77.0,9.0,True,True,2023-03-16 09:03:00,2023-03-16 09:00,True
EIE 2701/0 HETMAN,16.03,09:07,9.0,0.0,Nisko,Rudnik nad Sanem,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:07:00,"('Nisko', 'Rudnik nad Sanem')",13.0,77.0,9.0,True,True,2023-03-16 09:03:00,2023-03-16 09:00,True
EIE 2701/0 HETMAN,16.03,09:23,9.0,0.0,Rudnik nad Sanem,Nowa Sarzyna,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:23:00,"('Rudnik nad Sanem', 'Nowa Sarzyna')",16.0,77.0,9.0,True,True,2023-03-16 09:16:00,2023-03-16 09:00,True
