nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id
EIE 5112/3 WYBRZEŻE,21.03,07:55,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-21 07:55:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-21 07:50:00,2023-03-21 07:00
EIE 5112/3 WYBRZEŻE,21.03,08:00,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-21 08:00:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-21 07:54:00,2023-03-21 07:00
EIE 5112/3 WYBRZEŻE,21.03,08:07,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-21 08:07:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-21 08:01:00,2023-03-21 08:00
EIE 5112/3 WYBRZEŻE,21.03,08:26,1.0,1.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-21 08:26:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-21 08:06:00,2023-03-21 08:00
EIE 5112/3 WYBRZEŻE,21.03,11:15,7.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-21 11:15:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,7.0,True,True,2023-03-21 11:10:00,2023-03-21 11:00
EIE 5112/3 WYBRZEŻE,21.03,11:26,7.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-21 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,7.0,True,True,2023-03-21 11:21:00,2023-03-21 11:00
EIE 5112/3 WYBRZEŻE,22.03,07:49,3.0,1.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-22 07:49:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,2.0,False,False,2023-03-22 07:41:00,2023-03-22 07:00
EIE 5112/3 WYBRZEŻE,22.03,07:55,3.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-22 07:55:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,3.0,False,False,2023-03-22 07:53:00,2023-03-22 07:00
EIE 5112/3 WYBRZEŻE,22.03,08:00,2.0,-1.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-22 08:00:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,3.0,False,False,2023-03-22 07:57:00,2023-03-22 07:00
EIE 5112/3 WYBRZEŻE,22.03,08:07,1.0,-1.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-22 08:07:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,2.0,False,False,2023-03-22 08:03:00,2023-03-22 08:00
EIE 5112/3 WYBRZEŻE,22.03,08:26,0.0,-1.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-22 08:26:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,1.0,False,False,2023-03-22 08:07:00,2023-03-22 08:00
EIE 5112/3 WYBRZEŻE,22.03,11:16,2.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-22 11:16:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,2.0,False,False,2023-03-22 11:06:00,2023-03-22 11:00
EIE 5112/3 WYBRZEŻE,22.03,11:26,2.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-22 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,2.0,False,False,2023-03-22 11:16:00,2023-03-22 11:00
EIE 5112/3 WYBRZEŻE,23.03,07:49,1.0,1.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-23 07:49:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-23 07:39:00,2023-03-23 07:00
EIE 5112/3 WYBRZEŻE,23.03,07:55,1.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-23 07:55:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,1.0,False,False,2023-03-23 07:51:00,2023-03-23 07:00
EIE 5112/3 WYBRZEŻE,23.03,08:00,0.0,-1.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-23 08:00:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,1.0,False,False,2023-03-23 07:55:00,2023-03-23 07:00
EIE 5112/3 WYBRZEŻE,23.03,08:07,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-23 08:07:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-23 08:01:00,2023-03-23 08:00
EIE 5112/3 WYBRZEŻE,23.03,08:26,0.0,0.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-23 08:26:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-23 08:06:00,2023-03-23 08:00
EIE 5112/3 WYBRZEŻE,23.03,11:16,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-23 11:16:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-23 11:04:00,2023-03-23 11:00
EIE 5112/3 WYBRZEŻE,23.03,11:26,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-23 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-23 11:14:00,2023-03-23 11:00
EIE 5112/3 WYBRZEŻE,24.03,07:49,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-24 07:49:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-24 07:39:00,2023-03-24 07:00
EIE 5112/3 WYBRZEŻE,24.03,07:55,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-24 07:55:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-24 07:50:00,2023-03-24 07:00
EIE 5112/3 WYBRZEŻE,24.03,08:00,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-24 08:00:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-24 07:54:00,2023-03-24 07:00
EIE 5112/3 WYBRZEŻE,24.03,08:07,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-24 08:07:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-24 08:01:00,2023-03-24 08:00
EIE 5112/3 WYBRZEŻE,24.03,08:26,0.0,0.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-24 08:26:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-24 08:06:00,2023-03-24 08:00
EIE 5112/3 WYBRZEŻE,24.03,11:16,2.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-24 11:16:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,2.0,False,False,2023-03-24 11:06:00,2023-03-24 11:00
EIE 5112/3 WYBRZEŻE,24.03,11:26,2.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-24 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,2.0,False,False,2023-03-24 11:16:00,2023-03-24 11:00
EIE 5122/3 MAZURY,15.03,18:06,0.0,0.0,Olsztyn Główny,Olsztyn Zachodni,"('Olsztyn Główny', 'Olsztyn Zachodni')",2023-03-15 18:06:00,"('Olsztyn Główny', 'Olsztyn Zachodni')",6.0,6.0,0.0,False,False,2023-03-15 18:00:00,2023-03-15 18:00
EIE 5122/3 MAZURY,15.03,21:47,21.0,-1.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-15 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,22.0,True,True,2023-03-15 22:00:00,2023-03-15 22:00
EIE 5122/3 MAZURY,16.03,21:47,21.0,-1.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-16 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,22.0,True,True,2023-03-16 22:00:00,2023-03-16 22:00
