nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id
EIE 5112/3 WYBRZEŻE,19.03,11:15,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-19 11:15:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-19 11:03:00,2023-03-19 11:00
EIE 5112/3 WYBRZEŻE,19.03,11:26,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-19 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-19 11:14:00,2023-03-19 11:00
EIE 5112/3 WYBRZEŻE,20.03,07:49,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-20 07:49:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-20 07:39:00,2023-03-20 07:00
EIE 5112/3 WYBRZEŻE,20.03,07:55,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-20 07:55:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-20 07:50:00,2023-03-20 07:00
EIE 5112/3 WYBRZEŻE,20.03,08:00,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-20 08:00:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-20 07:54:00,2023-03-20 07:00
EIE 5112/3 WYBRZEŻE,20.03,08:07,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-20 08:07:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-20 08:01:00,2023-03-20 08:00
EIE 5112/3 WYBRZEŻE,20.03,08:26,0.0,0.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-20 08:26:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-20 08:06:00,2023-03-20 08:00
EIE 5112/3 WYBRZEŻE,20.03,11:15,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-20 11:15:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-20 11:03:00,2023-03-20 11:00
EIE 5112/3 WYBRZEŻE,20.03,11:26,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-20 11:26:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-20 11:14:00,2023-03-20 11:00
EIE 5112/3 WYBRZEŻE,21.03,07:49,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-21 07:49:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-21 07:39:00,2023-03-21 07:00
